Source_ID,Target_ID,Source,Target,Dependency_Type,Dependency_Count
1,192,src/client/java/teammates/client/remoteapi/RemoteApiClient.java,src/main/java/teammates/storage/api/OfyHelper.java,Call,1
1,192,src/client/java/teammates/client/remoteapi/RemoteApiClient.java,src/main/java/teammates/storage/api/OfyHelper.java,Import,1
1,192,src/client/java/teammates/client/remoteapi/RemoteApiClient.java,src/main/java/teammates/storage/api/OfyHelper.java,Use,1
1,760,src/client/java/teammates/client/remoteapi/RemoteApiClient.java,src/test/java/teammates/test/driver/TestProperties.java,Call,1
1,760,src/client/java/teammates/client/remoteapi/RemoteApiClient.java,src/test/java/teammates/test/driver/TestProperties.java,Import,1
1,760,src/client/java/teammates/client/remoteapi/RemoteApiClient.java,src/test/java/teammates/test/driver/TestProperties.java,Use,9
3,1,src/client/java/teammates/client/scripts/AdminEmailListGenerator.java,src/client/java/teammates/client/remoteapi/RemoteApiClient.java,Call,25
3,1,src/client/java/teammates/client/scripts/AdminEmailListGenerator.java,src/client/java/teammates/client/remoteapi/RemoteApiClient.java,Extend,1
3,1,src/client/java/teammates/client/scripts/AdminEmailListGenerator.java,src/client/java/teammates/client/remoteapi/RemoteApiClient.java,Import,1
3,108,src/client/java/teammates/client/scripts/AdminEmailListGenerator.java,src/main/java/teammates/common/exception/InvalidParametersException.java,Call,1
3,108,src/client/java/teammates/client/scripts/AdminEmailListGenerator.java,src/main/java/teammates/common/exception/InvalidParametersException.java,Create,1
3,108,src/client/java/teammates/client/scripts/AdminEmailListGenerator.java,src/main/java/teammates/common/exception/InvalidParametersException.java,Import,1
3,108,src/client/java/teammates/client/scripts/AdminEmailListGenerator.java,src/main/java/teammates/common/exception/InvalidParametersException.java,Throw,9
3,121,src/client/java/teammates/client/scripts/AdminEmailListGenerator.java,src/main/java/teammates/common/util/Const.java,Import,1
3,121,src/client/java/teammates/client/scripts/AdminEmailListGenerator.java,src/main/java/teammates/common/util/Const.java,Use,9
3,144,src/client/java/teammates/client/scripts/AdminEmailListGenerator.java,src/main/java/teammates/common/util/TimeHelper.java,Call,1
3,144,src/client/java/teammates/client/scripts/AdminEmailListGenerator.java,src/main/java/teammates/common/util/TimeHelper.java,Import,1
3,144,src/client/java/teammates/client/scripts/AdminEmailListGenerator.java,src/main/java/teammates/common/util/TimeHelper.java,Use,1
3,196,src/client/java/teammates/client/scripts/AdminEmailListGenerator.java,src/main/java/teammates/storage/entity/Account.java,Call,4
3,196,src/client/java/teammates/client/scripts/AdminEmailListGenerator.java,src/main/java/teammates/storage/entity/Account.java,Contain,4
3,196,src/client/java/teammates/client/scripts/AdminEmailListGenerator.java,src/main/java/teammates/storage/entity/Account.java,Import,1
3,196,src/client/java/teammates/client/scripts/AdminEmailListGenerator.java,src/main/java/teammates/storage/entity/Account.java,Return,1
3,196,src/client/java/teammates/client/scripts/AdminEmailListGenerator.java,src/main/java/teammates/storage/entity/Account.java,Use,1
3,199,src/client/java/teammates/client/scripts/AdminEmailListGenerator.java,src/main/java/teammates/storage/entity/Course.java,Call,16
3,199,src/client/java/teammates/client/scripts/AdminEmailListGenerator.java,src/main/java/teammates/storage/entity/Course.java,Contain,4
3,199,src/client/java/teammates/client/scripts/AdminEmailListGenerator.java,src/main/java/teammates/storage/entity/Course.java,Import,1
3,199,src/client/java/teammates/client/scripts/AdminEmailListGenerator.java,src/main/java/teammates/storage/entity/Course.java,Return,1
